Item,Part Number,Supplier,Description,unit Price (USD),Quantity / Stage,Price / Stage,
PLA Body,PLA,Filaments.ca,2 Kg (2.85mm Black PLA), $44.21 ,150 g, $3.32 ,
M2.5 Socket Head Screw,91292A114,McMaster-Carr,12 mm Long (pack of 100), $4.72 ,2 pcs, $0.09 ,
M3 Shoulder Screw,90265A118,McMaster-Carr,"4mm Diameter, 6mm Long Shoulder", $2.48 ,6 pcs, $14.88 ,
M3 Socket Head Screw,91292A016,McMaster-Carr,12 mm Long (pack of 100), $5.15 ,8 pcs, $0.41 ,
M3 Socket Head Screw,91292A112,McMaster-Carr,8 mm Long (pack of 100), $4.29 ,4 pcs, $0.17 ,
M5 Flat Head Screw,92125A210,McMaster-Carr,12 mm Long (pack of 100), $11.62 ,2 pcs, $0.23 ,
M3 Lock Washer,93925A240,McMaster-Carr,Internal-Tooth (pack of 100), $2.27 ,6 pcs, $0.14 ,
M3 Washer,93475A210,McMaster-Carr,Stainless Steel Washer (pack of 100), $1.62 ,10 pcs, $0.16 ,
M2.5 Hex Nut,91828A113,McMaster-Carr,0.45 mm Thread (pack of 100), $5.64 ,2 pcs, $0.11 ,
M3 Hex Nut,91828A211,McMaster-Carr,0.5 mm Thread (pack of 100), $5.55 ,18 pcs, $1.00 ,
M5 Hex Nut,90591A260,McMaster-Carr,0.8 mm Thread (pack of 100), $2.80 ,2 pcs, $0.06 ,
Push-In Blind Rivet,90136A552,McMaster-Carr,"Nylon Split Shank, 0.115 "" Hole Diameter, 0.235"" Material Thickness  (pack of 100)", $6.67 ,4 pcs, $0.27 ,
Brass Flange Nut,X000ZHLWFL,Anycubic (amazon.com),Diameter 8mm; Pitch 2mm (pack of 2), $5.00 ,1 pcs, $2.50 ,
T8 Lead Screw,3D printer accessories kit,GOCHANGE (amazon.ca),"500 mm Long, Pitch 2mm (Cut in 100 mm)", $17.54 ,1 pcs, $4.39 ,Alternative
Shaft Coupler,WXZC000200-2CA,amazon.ca,4mm To 8mm  (19 x 25 mm) (pack of 2), $5.09 ,1 pcs, $2.54 ,
Ball Bearing Pillow Block,9978,Flyouth (amazon.ca),Bore diameter: 8mm (KP08) (pack of 2), $9.74 ,1 pcs, $4.87 ,
Stepper Motor,EM-483,Recycled Epson Printers,"40 x 40 x 25 mm,Max Current 1.4A, Step 1.8°", $-   ,1 pcs, $-   ,
Vibration-Damping Mount,N/A,Recycled Epson Printers,Vibration-Damping Mount, $-   ,4 pcs, $-   ,
Delrin Arms,N/A,Plasticworld.ca,"0.188"" Delrin Sheet", $-   ,4 pcs, $-   ,
Micro Switch,SM5-01N,Home Hardware,Endstop, $1.88 ,1 pcs, $1.88 ,
,,,,,,,
,,,,,,,
,,,,,Total, $37.01 ,
